archivo,grupo,split_original
c_Mandibular_anonymous_003_008_495_01_1728653519595_Mandibular_View_jpg.rf.EL9pfdbJ7EAYqb873VrQ_aug056.jpg,003-008-495-01,train
c_Mandibular_anonymous_003_008_495_01_1728653519595_Mandibular_View_jpg.rf.EL9pfdbJ7EAYqb873VrQ_aug057.jpg,003-008-495-01,train
c_Mandibular_anonymous_003_103_357_01_1728053115007_Mandibular_View_jpg.rf.J1bFeB2K2hfrbC12WnuS_aug125.jpg,003-103-357-01,train
c_Mandibular_anonymous_003_103_357_01_1728053115007_Mandibular_View_jpg.rf.J1bFeB2K2hfrbC12WnuS_aug126.jpg,003-103-357-01,train
c_Mandibular_anonymous_003_103_357_01_1728053115007_Mandibular_View_jpg.rf.J1bFeB2K2hfrbC12WnuS_aug127.jpg,003-103-357-01,train
c_Maxillary_Occlusal_anonymous_003-007-610-01_1729062730067_Maxillary_Occlusal_View_jpg.rf.TKC3C9eB0IkDDcjyhNQR_aug179.jpg,003-007-610-01,train
c_Maxillary_Occlusal_anonymous_003-007-610-01_1729062730067_Maxillary_Occlusal_View_jpg.rf.TKC3C9eB0IkDDcjyhNQR_aug180.jpg,003-007-610-01,train
c_Maxillary_Occlusal_anonymous_003-007-787-01_1729839045536_Maxillary_Occlusal_View_jpg.rf.MUNcn7MLRUX2hCUXafYr.jpg,003-007-787-01,train
c_Maxillary_Occlusal_anonymous_003-007-787-01_1729839045536_Maxillary_Occlusal_View_jpg.rf.MUNcn7MLRUX2hCUXafYr_aug1112.jpg,003-007-787-01,train
c_Maxillary_Occlusal_anonymous_003-007-787-01_1729839045536_Maxillary_Occlusal_View_jpg.rf.MUNcn7MLRUX2hCUXafYr_aug1113.jpg,003-007-787-01,train
c_Maxillary_Occlusal_anonymous_003-007-963-01_1730871948653_Maxillary_Occlusal_View_jpg.rf.sJC7Y6yut86thMwl0xi3_aug370.jpg,003-007-963-01,train
c_Maxillary_Occlusal_anonymous_003-007-963-01_1730871948653_Maxillary_Occlusal_View_jpg.rf.sJC7Y6yut86thMwl0xi3_aug371.jpg,003-007-963-01,train
c_Maxillary_Occlusal_anonymous_003-008-562-01_1728904090342_Maxillary_Occlusal_View_jpg.rf.K371yn4qb47hMg4q5rer.jpg,003-008-562-01,train
c_Maxillary_Occlusal_anonymous_003-008-562-01_1728904090342_Maxillary_Occlusal_View_jpg.rf.K371yn4qb47hMg4q5rer_aug486.jpg,003-008-562-01,train
c_Maxillary_Occlusal_anonymous_003-008-562-01_1728904090342_Maxillary_Occlusal_View_jpg.rf.K371yn4qb47hMg4q5rer_aug487.jpg,003-008-562-01,train
c_Maxillary_Occlusal_anonymous_003-008-746-01_1729603652462_Maxillary_Occlusal_View_jpg.rf.S2AjyZwZSQhpdkR1T9s3.jpg,003-008-746-01,train
c_Maxillary_Occlusal_anonymous_003-008-746-01_1729603652462_Maxillary_Occlusal_View_jpg.rf.S2AjyZwZSQhpdkR1T9s3_aug680.jpg,003-008-746-01,train
c_Maxillary_Occlusal_anonymous_003-008-746-01_1729603652462_Maxillary_Occlusal_View_jpg.rf.S2AjyZwZSQhpdkR1T9s3_aug681.jpg,003-008-746-01,train
c_Maxillary_Occlusal_anonymous_003_008_539_01_1728816064645_Maxillary_Occlusal_View_jpg.rf.2F5bQaVRBFRBmVRtvuMt_aug389.jpg,003-008-539-01,train
c_Maxillary_Occlusal_anonymous_003_008_539_01_1728816064645_Maxillary_Occlusal_View_jpg.rf.2F5bQaVRBFRBmVRtvuMt_aug390.jpg,003-008-539-01,train
c_Maxillary_Occlusal_anonymous_003_103_357_01_1728053115007_Maxillary_Occlusal_View_jpg.rf.4ZDaljkPAKJyDZeWrBx3.jpg,003-103-357-01,train
c_Maxillary_Occlusal_anonymous_003_103_357_01_1728053115007_Maxillary_Occlusal_View_jpg.rf.4ZDaljkPAKJyDZeWrBx3_aug1000.jpg,003-103-357-01,train
c_Maxillary_Occlusal_anonymous_003_103_357_01_1728053115007_Maxillary_Occlusal_View_jpg.rf.4ZDaljkPAKJyDZeWrBx3_aug998.jpg,003-103-357-01,train
c_Maxillary_Occlusal_anonymous_003_103_357_01_1728053115007_Maxillary_Occlusal_View_jpg.rf.4ZDaljkPAKJyDZeWrBx3_aug999.jpg,003-103-357-01,train
c_Maxillary_Occlusal_anonymous_003_103_416_01_1728447642675_Maxillary_Occlusal_View_jpg.rf.cqbYYVSpUA9IfMx6KI7E.jpg,003-103-416-01,train
c_Maxillary_Occlusal_anonymous_003_103_416_01_1728447642675_Maxillary_Occlusal_View_jpg.rf.cqbYYVSpUA9IfMx6KI7E_aug725.jpg,003-103-416-01,train
c_Maxillary_Occlusal_anonymous_003_103_416_01_1728447642675_Maxillary_Occlusal_View_jpg.rf.cqbYYVSpUA9IfMx6KI7E_aug726.jpg,003-103-416-01,train
c_Maxillary_Occlusal_anonymous_003_103_435_01_1728476277104_Maxillary_Occlusal_View_jpg.rf.TA1Dm2JMjIdz36Q5qOcp_aug045.jpg,003-103-435-01,train
c_Maxillary_Occlusal_anonymous_003_103_435_01_1728476277104_Maxillary_Occlusal_View_jpg.rf.TA1Dm2JMjIdz36Q5qOcp_aug046.jpg,003-103-435-01,train
c_Maxillary_Occlusal_anonymous_004-008-914-01_1730377944083_Maxillary_Occlusal_View_jpg.rf.mtEmdxJ1YHXvmRoKbeSm.jpg,004-008-914-01,train
c_Maxillary_Occlusal_anonymous_004-008-914-01_1730377944083_Maxillary_Occlusal_View_jpg.rf.mtEmdxJ1YHXvmRoKbeSm_aug1043.jpg,004-008-914-01,train
c_Maxillary_Occlusal_anonymous_004-008-914-01_1730377944083_Maxillary_Occlusal_View_jpg.rf.mtEmdxJ1YHXvmRoKbeSm_aug1044.jpg,004-008-914-01,train
c_Frontal_anonymous_003_008_517_01_1728729948616_Frontal_View_jpg.rf.L5Vt7V7PbIeJ1StKI4Lz.jpg,003-008-517-01,valid
c_Mandibular_anonymous_003-008-622-01_1729087609045_Mandibular_View_jpg.rf.yyu6kOdPld7Y4z4Cm3sZ.jpg,003-008-622-01,valid
c_Maxillary_Occlusal_anonymous_003-007-672-01_1729239360521_Maxillary_Occlusal_View_jpg.rf.9p2mvse01NaeONsSSMkp.jpg,003-007-672-01,valid
c_Maxillary_Occlusal_anonymous_003-008-626-01_1729138704180_Maxillary_Occlusal_View_jpg.rf.9IabcMi2CQL3JD85S0Pf.jpg,003-008-626-01,valid
c_Maxillary_Occlusal_anonymous_003_103_299_01_1727868080003_Maxillary_Occlusal_View_jpg.rf.8xokZRRMOGBqsCSByjeA.jpg,003-103-299-01,valid
c_Mandibular_anonymous_003-007-600-01_1729052481058_Mandibular_View_jpg.rf.v1YhNG5qgdXK8WpuCL4R.jpg,003-007-600-01,test
c_Mandibular_anonymous_003-007-610-01_1729062730067_Mandibular_View_jpg.rf.Bc5FEMTomQvoM9AD7YeE.jpg,003-007-610-01,test
c_Mandibular_anonymous_003-008-1162-01_1732627243635_Mandibular_View_jpg.rf.KbqfwD7U3JdTDOEAhLV9.jpg,003-008-1162-01,test
c_Mandibular_anonymous_003_103_435_01_1728476277104_Mandibular_View_jpg.rf.SQwpvvhnpayHUgtjJYNy.jpg,003-103-435-01,test
c_Maxillary_Occlusal_anonymous_003-008-678-01_1729248899061_Maxillary_Occlusal_View_jpg.rf.oleCPj5AaSZAfAOP8Yxh.jpg,003-008-678-01,test
c_Maxillary_Occlusal_anonymous_003_007_505_01_1728712510089_Maxillary_Occlusal_View_jpg.rf.lfmanVuN4zRBGsf4GafQ.jpg,003-007-505-01,test
