view,path,stem,width,height,blur_var,legible
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0291.jpg,LF 0291,1280,550,2.8624792453512398,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0169.jpg,LF 0169,1280,550,2.8432116295176098,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0361.jpg,LF 0361,1280,550,3.3170449214795323,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0484.jpg,LF 0484,1280,550,2.4879159474250216,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0108.jpg,LF 0108,1280,550,2.4786517168755644,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0062.jpg,LF 0062,1280,550,3.540556488862344,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0718.jpg,LF 0718,1280,550,2.5863007421794304,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0176.jpg,LF 0176,1280,550,2.535930231532073,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0268.jpg,LF 0268,1280,550,2.2390252397803945,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0861.jpg,LF 0861,1280,550,3.22979086873507,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0573.jpg,LF 0573,1280,550,3.0460539722285005,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0830.jpg,LF 0830,1280,550,3.492708803589875,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0683.jpg,LF 0683,1280,550,2.393418894529232,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0244.jpg,LF 0244,1280,550,2.0401811441034994,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0336.jpg,LF 0336,1280,550,3.109206974332951,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0478.jpg,LF 0478,1280,550,2.7500314943000235,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0926.jpg,LF 0926,1280,550,4.014540167450205,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0748.jpg,LF 0748,1280,550,2.7005813609709937,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0544.jpg,LF 0544,1280,550,2.6832922193875897,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0406.jpg,LF 0406,1280,550,2.59030529916508,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0604.jpg,LF 0604,1280,550,2.874066700976159,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0312.jpg,LF 0312,1280,550,3.7044125284070746,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0299.jpg,LF 0299,1280,550,2.018451120536867,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0034.jpg,LF 0034,1280,550,3.170913982042548,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0407.jpg,LF 0407,1280,550,3.2472469849217953,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0795.jpg,LF 0795,1280,550,2.721297101554429,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0060.jpg,LF 0060,1280,550,4.021803284405668,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0545.jpg,LF 0545,1280,550,3.5858480274547224,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0389.jpg,LF 0389,1280,550,3.6094459232873843,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0746.jpg,LF 0746,1280,550,2.5312080700461657,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0270.jpg,LF 0270,1280,550,3.2548804570292327,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0261.jpg,LF 0261,1280,550,2.2420056262186856,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0740.jpg,LF 0740,1280,550,3.2671213272190562,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0082.jpg,LF 0082,1280,550,4.21180892648946,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0214.jpg,LF 0214,1280,550,2.3972782829852144,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0400.jpg,LF 0400,1280,550,3.0505241648292225,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0884.jpg,LF 0884,1280,550,3.0529408957237063,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0559.jpg,LF 0559,1280,550,2.2424827185482314,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0255.jpg,LF 0255,1280,550,2.7595516585743805,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0494.jpg,LF 0494,1280,550,2.5523389740746865,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0757.jpg,LF 0757,1280,550,2.217782583998499,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0072.jpg,LF 0072,1280,550,2.6791184328976474,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0328.jpg,LF 0328,1280,550,2.141012787633975,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0119.jpg,LF 0119,1280,550,2.3586746498075124,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0496.jpg,LF 0496,1280,550,4.0155075227272725,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0574.jpg,LF 0574,1280,550,3.5819442274644078,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0288.jpg,LF 0288,1280,550,2.743028213324429,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0648.jpg,LF 0648,1280,550,2.5986617868995343,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0742.jpg,LF 0742,1280,550,3.080631792605566,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0512.jpg,LF 0512,1280,550,3.517728640881248,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0228.jpg,LF 0228,1280,550,4.520769174449571,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0692.jpg,LF 0692,1280,550,2.7978035830885193,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0153.jpg,LF 0153,1280,550,4.011588068109182,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0026.jpg,LF 0026,1280,550,3.178058226043953,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0392.jpg,LF 0392,1280,550,2.8134044719278637,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0731.jpg,LF 0731,1280,550,3.4681614354338857,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0386.jpg,LF 0386,1280,550,3.158663024581531,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0289.jpg,LF 0289,1280,550,3.0263550972930653,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0827.jpg,LF 0827,1280,550,2.394017011355565,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0650.jpg,LF 0650,1280,550,3.713284006940857,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0364.jpg,LF 0364,1280,550,2.9610434170628066,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0371.jpg,LF 0371,1280,550,4.034616426903086,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0715.jpg,LF 0715,1280,550,4.9704340901020165,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0454.jpg,LF 0454,1280,550,2.9966080428719017,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0456.jpg,LF 0456,1280,550,2.5642612208726123,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0109.jpg,LF 0109,1280,550,4.141545413860732,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0101.jpg,LF 0101,1280,550,2.5036189239976103,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0194.jpg,LF 0194,1280,550,5.676499302395403,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0839.jpg,LF 0839,1280,550,3.3280538145338325,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0530.jpg,LF 0530,1280,550,2.867395907264899,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0200.jpg,LF 0200,1280,550,2.982748494751985,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0087.jpg,LF 0087,1280,550,4.224856384935111,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0321.jpg,LF 0321,1280,550,2.2935567219601465,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0767.jpg,LF 0767,1280,550,3.1234144152549543,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0111.jpg,LF 0111,1280,550,2.56683342502058,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0493.jpg,LF 0493,1280,550,2.4643337046725686,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0133.jpg,LF 0133,1280,550,2.1062286596054203,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0682.jpg,LF 0682,1280,550,3.247389203181493,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0080.jpg,LF 0080,1280,550,3.464562444400505,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0166.jpg,LF 0166,1280,550,3.7785003363713052,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0586.jpg,LF 0586,1280,550,2.6242471087212684,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0755.jpg,LF 0755,1280,550,2.970617896466216,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0368.jpg,LF 0368,1280,550,1.9897300717975208,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0425.jpg,LF 0425,1280,550,3.148935687142867,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0517.jpg,LF 0517,1280,550,3.2237673269305245,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0518.jpg,LF 0518,1280,550,2.8949865015959935,True
Lower Front,/content/drive/MyDrive/UNIVERSIDAD/9NO SEMESTRE/TITULACION/DATASET CARIES/Teeth or Dental Image Dataset/Lower Front/LF 0079.jpg,LF 0079,1280,550,3.326766224165485,True
